,text,time
0,"RT @iamtejumorlah: Adesua Wellington sef be stepper...abi na my eyes dey pain me😳 

#RIPTwitch #Labourparty #Obidatti #Christmas #Nigeria #…",2022-12-15 20:00:58+00:00
1,"Amid the wild celebrations from the French players, their superstar forward, Kylian Mbappe, could be seen weaving his way around his teammates before leaning over his good friend and stalwart of the Moroccan defense, Achraf Hakimi. #whatsupdoha #FIFA https://t.co/zyHl1yg8Sa",2022-12-15 20:00:57+00:00
2,"RT @WeShare_Global: 📢WeShare #WorldCup2022 Football Betting Round of 16! 
 
🇵🇹#Portugal 🆚 #Switzerland🇨🇭
⚽️Total Goals Scored

👇Bet below &amp;…",2022-12-15 20:00:56+00:00
3,"We are down to the final round!!! 
Who will win??? 
Are you Team France 🇫🇷 or Team Argentina🇦🇷🎉🎉🎉 

Sound off on the comments!! @truittcfisd #rtp #worldcup2022 https://t.co/1T5oBc74Qm",2022-12-15 20:00:55+00:00
4,"@kaitlancollins is an absolute moron for disagreeing with @donlemon on this.

How can anyone get their news from someone so shamefully unreasonable? 

#WorldCup #WorldCup2022 #WomensRightsAreHumanRights #CNN https://t.co/Ys9V9u1xoX",2022-12-15 20:00:55+00:00
5,"RT @BBahisortami: SAHABET - 50 Kişiye 50 TL FREEBET !

⭐️ 50 TL⭐️

🔗Katılım :  https://t.co/r1xaQfg4aN

#bahis #freebet #freespin
#slotonli…",2022-12-15 20:00:54+00:00
6,RT @wasm_ms: بدعوة كريمة من وحدة الخدمات المساندة للأشخاص ذوي الإعاقة للإناث شاركت #جمعيه #وسم #للتصلب #المتعدد مع عدة جمعيات في فعالية #ال…,2022-12-15 20:00:54+00:00
7,"RT @FootballApeFC: Welcome to Football Ape Club ⚽️

For 100$ and Mutiple Whitelist Spots👇

Register here: https://t.co/zHj3qKAoCC

Join Dis…",2022-12-15 20:00:53+00:00
8,"RT @FootballApeFC: Welcome to Football Ape Club ⚽️

For 100$ and Mutiple Whitelist Spots👇

Register here: https://t.co/zHj3qKAoCC

Join Dis…",2022-12-15 20:00:53+00:00
9,"RT @WeShare_Global: 📢WeShare #WorldCup2022 Football Betting Quarter-Finals! 
 
🇭🇷#Croatia🆚 #Brazil🇧🇷
⚽️Total Goals Scored

👇Bet below &amp; Gue…",2022-12-15 20:00:51+00:00
10,"RT @gianpromotes: $20 | 300.000 IDR ~ 20 Hours 

- RT + RT &amp; Like @FootballApeFC 📌

draw @sweenpi 
———————
#fifa #FIFAWorldCup #FIFAWorldCu…",2022-12-15 20:00:50+00:00
11,"RT @laurentdogrel: On est en finale 🇫🇷
Bravo les bleus et à l’équipe marocaine qui n’a pas démérité. 
#francemaroc #WorldCup2022 https://t.…",2022-12-15 20:00:50+00:00
