,text,time
0,"RT @CrownprinceCom2: If Messi score tonight against #Croatia
I will give out $40 to everyone who like and retweet this post

/Argentina #Cr…",2022-12-14 05:59:54+00:00
1,"RT @Atah_Official: Prediction:  Argentina wins world cup 2022

#ArgentinaWinsWorldCup2022
#Argentina
#WorldCup
#WorldCup2022
#Qatar2022
#At…",2022-12-14 05:59:20+00:00
2,Cristiano Ronaldo lost #Argentina #WorldCup2022 #Messi The goal is Messi https://t.co/JeCVrZ0YTF,2022-12-14 05:58:25+00:00
3,"Craze for football ⚽❤

#Argentina #FIFAWorldCup #Football #WorldCup2022 https://t.co/465lvaJ8FK",2022-12-14 05:56:59+00:00
4,"Majestic #Messi was a treat to watch. #Argentina produced its best performance to reach the #WorldCup2022 final on 18th.

For #ARG    it was like a home game, the capacity stadium was filled with Argentinian fans.

#ArgentinaVsCroatia #ARGCRO #Qatar2022    #FIFAWorldCupQatar2022 https://t.co/havIy5eyzu",2022-12-14 05:56:32+00:00
5,"RT @CrownprinceCom2: If Messi score tonight against #Croatia
I will give out $40 to everyone who like and retweet this post

/Argentina #Cr…",2022-12-14 05:55:37+00:00
6,"RT @uquidcard: 👑Winner Takes All👑

⚽️The most crowded community will share a #Giveaway of 15,000,000 $SHIB 

✅Rules:
- Comment the team you…",2022-12-14 05:55:23+00:00
7,"Buenos Aires after Argentina made it to the Finals 🎉🎉
#ArgentinaVsCroatia #Messi𓃵 #FIFAWorldCup #WorldCup2022 #BuenosAires #Argentina #FIFAWorldCupQatar2022 #Qatar2022 #WorldCup #LionelMessi #football #Trending https://t.co/ZCqB5rbpMr",2022-12-14 05:54:09+00:00
8,"RT @imessi: Lionel #Messi𓃵  has now scored 11 goals at the #WorldCup , the outright most of any #Argentina player in the competition’s hist…",2022-12-14 05:53:41+00:00
9,"Alvarez's brace, Messi's goal guides Argentina into final with 3-0 win over Croatia

#LionelMessi #WorldCup2022 #ArgentinaVsCroatia #Argentina 

https://t.co/QCMqVLhv0m",2022-12-14 05:51:11+00:00
10,#Messi𓃵 the only goat 🐐 Argentina #Argentina #ArgentinaVsCroatia #WorldCup2022 https://t.co/4XbDYu7zgX,2022-12-14 05:50:28+00:00
11,"Which 2022 FIFA World Cup Final Do You Want?
#FIFAWorldCup #FIFA23 #FIFAWorldCup2022 #FIFA #francemaroc #France #Morocco #MoroccoVsFrance #Qatar #Qatar2022 #WorldCup2022 #WarriorNun @FIFAWorldCup #polls #ArgentinaVsCroatia #Argentina #FIFAWorldCupQatar2022 #MoroccoSpain",2022-12-14 05:48:07+00:00
12,"Two kings of two worlds. 
Shakib Al Hasan X leonel Messi 
🇧🇩❤️🇦🇷
#LeonelMessi #ShakibAlHasan #Leo #Shakib #Messi #Bangladesh #Argentina #BANvIND #FIFAWorldCup #Qatar2022 #VamosArgentina #India #Legend #WorldCup2022  #CricketTwitter #Cricket #football #Messi𓃵 #ArgentinaVsCroatia https://t.co/zSwPAc3oD2",2022-12-14 05:46:43+00:00
