,text,time
0,"RT @ConfluxAfrica: Predict &amp; Win!!! 🥳🎉

Predict the winner of today’s #WorldCup2022 match between #Netherlands &amp; #Argentina to stand a chan…",2022-12-09 19:00:55+00:00
1,"KICK OFF

Netherlands vs Argentina

#FIFAWorldCupQatar2022 #FIFAWorldCup  #WorldCup2022 #Qatar2022 #ARG #NED #Argentina #Netherlands https://t.co/o6ZRQv4flK",2022-12-09 19:00:39+00:00
2,"@FIFAWorldCup #Qatar2022 #FIFAWorldCup
Who do I predict to win🇳🇱🆚🇦🇷⚽️?
Click here: https://t.co/FcgoldQVsj…
#NEDARG #NED #Netherlands
#Nederlands #NothingLikeOranje
#Oranje #HupHollandHup
#ARG #Argentina
#LaAlbiceleste
#SeleccionArgentina
#WorldCup2022
#WorldCupQatar2022  
#QatarWorldCup2022",2022-12-09 19:00:23+00:00
3,"⚽️⚽️⚽️
Start game 🔔

#ned 🆚 #arg 
________________________
#football #Netherlands #Argentina #messi #WorldCup2022 #WorldCup #FIFAWorldCup2022",2022-12-09 19:00:20+00:00
4,"Game ON:
#Netherlands V #Argentina.  #worldCup2022",2022-12-09 19:02:01+00:00
5,"RT @TheRochaSays: It's Quarterfinals Friday at #WorldCup2022 !

Join Me at 11am PT for my LIVE Watchalong of #Argentina vs #Netherlands on…",2022-12-09 19:04:35+00:00
6,Next quarterfinal match just started. #Netherlands vs #Argentina I have mixed feelings the #Dutch speakers and #Messi deserve the Cup long ago. #WorldCup2022 #Qatar #Quarterfinals,2022-12-09 19:04:21+00:00
7,"Oooh it’s back, the #footie is back! 

Will be a tough night for #argentina I think.

We will see you all in the morning, have a Bostin night! ☺️

#litterwatch #adoptastreet #fridaynight #WorldCup2022 #sandwell #blackcountry https://t.co/G5xQXdnzqk",2022-12-09 19:05:58+00:00
8,"Best Wishes for #Argentina
#WorldCup2022 https://t.co/eu2QlFMbXa",2022-12-09 19:05:49+00:00
9,"ARGENTINA vs NETHERLANDS
Surely Argentina will go through to semi final! 😁👍👍👍🇦🇷🇦🇷🇦🇷
#argentina🇦🇷
#worldcup2022
#quarterfinalist
#QatarWorldCup2022 https://t.co/q4dImkCtfs",2022-12-09 19:05:12+00:00
10,"The way #Argentina fans are celebrating #Brazil’s elimination before their game, doesn’t sit right. #karma is a b*tch! #WorldcupQatar2022 has been full of surprises.

Bring on #argentinavsnetherlands #WorldCup2022",2022-12-09 19:06:31+00:00
11,"QF #worldcup are DANGER for #brazil = reminds #fun 1982 talented 1986 #WorldCup2022 teams of #socrates and #zico OUT
so
what happens #argentina vs #netherlands QF rematch of 1978 #FIFAWorldCup2022 final?",2022-12-09 19:07:56+00:00
12,"Now that #Brazil is out, #Argentina must be more careful with this slimmer mean marginal advantage of 1.9% over #Netherlands, slimmer than Brazil's 2.5% at the #WorldCup2022 #WorldcupQatar2022 @FIFAWorldCup https://t.co/NJXwr8k3hW",2022-12-09 19:07:36+00:00
13,"RT @hopadero: Now that #Brazil is out, #Argentina must be more careful with this slimmer mean marginal advantage of 1.9% over #Netherlands,…",2022-12-09 19:07:21+00:00
14,"Now that #Brazil is out, #Argentina must be more careful with this slimmer mean marginal advantage of 1.9% over #Netherlands, slimmer than Brazil's 2.5% at the #WorldCup2022 #WorldcupQatar2022 @FIFAWorldCup https://t.co/FZSElgBDoq",2022-12-09 19:07:00+00:00
15,"RT @zapalak: Best Wishes for #Argentina
#WorldCup2022 https://t.co/eu2QlFMbXa",2022-12-09 19:09:20+00:00
