,text,time
0,"RT @AD_GQ: Good morning, 

Another big match today. We are almost done with #FIFAWorldCup 

Who’s going to qualify to the final match to pl…",2022-12-14 05:58:23+00:00
1,"RT @angelbellerin02: Another world cup final for France 😎✔️

Another cup for FRANCE ✔️📌

GOOD MORNING FAM  Leo ni Leo 😎 Morocco haendi fina…",2022-12-14 05:58:11+00:00
2,"🤯 Impressive Presentation Slide Designs + 🏆 Free Download PowerPoint Templates

👉https://t.co/S1ettV7zuj

#PowerPoint #Presentation #ppt #free #download #slide #design #messi #goat #ronaldo #WorldCup2022 #conference #france #creative #slide #design #designer #keynote #speaker https://t.co/E10j7aJE36",2022-12-14 05:56:11+00:00
3,"RT @uquidcard: 👑Winner Takes All👑

⚽️The most crowded community will share a #Giveaway of 15,000,000 $SHIB 

✅Rules:
- Comment the team you…",2022-12-14 05:55:23+00:00
4,"Which 2022 FIFA World Cup Final Do You Want?
#FIFAWorldCup #FIFA23 #FIFAWorldCup2022 #FIFA #francemaroc #France #Morocco #MoroccoVsFrance #Qatar #Qatar2022 #WorldCup2022 #WarriorNun @FIFAWorldCup #polls #ArgentinaVsCroatia #Argentina #FIFAWorldCupQatar2022 #MoroccoSpain",2022-12-14 05:48:07+00:00
5,"RT @e_cycleofficial: ⚽️𝗠𝗜𝗡𝗜 𝗘𝗩𝗘𝗡𝗧 - 𝗪𝗢𝗥𝗟𝗗 𝗖𝗨𝗣 𝟮𝟬𝟮𝟮 𝗣𝗥𝗘𝗗𝗜𝗖𝗧𝗜𝗢𝗡𝗦⚽️
- 𝑬𝑨𝑺𝒀 𝑷𝑳𝑨𝒀, 𝑬𝑨𝑺𝒀 𝑾𝑰𝑵 -

#France 🆚 #Morroco
Who gonna win?🤘

📌Comment your…",2022-12-14 05:47:14+00:00
6,"RT @GuildFiGlobal: Will #France join #Argentina in the Finals of #WorldCup2022 or will #Morocco spring another surprise⚽️?

Who are you roo…",2022-12-14 05:42:06+00:00
7,"Today's match is between the blacks of Europe #france and the whites of Africa #Morocco 😂⚽🏆
#WorldCup2022
@KMbappe 
@AchrafHakimi",2022-12-14 05:30:06+00:00
8,Who is winning #France v. #Morocco? #FRAMAR #FRAvMAR #MARFRA #FRA #TeamFrance #Mbappé #Giroud #FiersdetreBleus #MAR #TeamMorocco #Qatar2022 #FIFA #WorldCup #WorldCup2022 #FIFAWorldCup #futbol #football #soccer #BBCFootball #BBCWorldCup #francemaroc #FrancevsMorocco,2022-12-14 05:27:20+00:00
9,"Let's See who gonna battle with Argentina in the Fifa Fin
FIFA Worldcup 2022 Semi-Finals

#messi #fifa #fifaworldcup #fifaworldcup2022 #solarenergy #croatia #argentina #worldcup2022 #solar #solarpower #qatar #qatar2022 #qatarworldcup2022 #dubai #waiting #afa #HNS #france #morocco https://t.co/jd0KpX84S3",2022-12-14 05:21:11+00:00
10,"RT @GuildFiGlobal: Will #France join #Argentina in the Finals of #WorldCup2022 or will #Morocco spring another surprise⚽️?

Who are you roo…",2022-12-14 05:19:31+00:00
11,"@uquidcard @Shibtoken #France #WorldCup2022

Thank you so much for this wonderful opportunity you have shared to us and the kind gesture, Followed all the steps mentioned Best of luck everyone.

@withdkyungsoo
@BerkaheSholawat
@ade_0xade https://t.co/HtKgyIw6SI",2022-12-14 05:16:27+00:00
12,Today all support to Morocco 💪💪 @EnMaroc #Qatar2022 #Morocco #France #WorldCup2022 #SemiFinals https://t.co/1cxDIbtI6L,2022-12-14 05:15:27+00:00
13,"RT @uquidcard: 👑Winner Takes All👑

⚽️The most crowded community will share a #Giveaway of 15,000,000 $SHIB 

✅Rules:
- Comment the team you…",2022-12-14 05:14:51+00:00
14,"#FIFAWorldcup Fixtures: France 🇫🇷 vs 🇲🇦 Morocco

Who will face Argentina in the final?

#france #morocco  #Worldcup2022 #Mbappe https://t.co/guXClMgG3R",2022-12-14 05:14:16+00:00
15,"Another world cup final for France 😎✔️

Another cup for FRANCE ✔️📌

GOOD MORNING FAM  Leo ni Leo 😎 Morocco haendi final niiteni mbwa
#FIFAWorldCup #WorldCup2022 #France #FRAMOR https://t.co/QHmCBY2mwX",2022-12-14 05:10:02+00:00
16,"Morocco fans hope World Cup ‘jinx mascot' support for France will net good luck for Atlas Lions writes 
@alialshouk 
https://t.co/pV8pmUoyZX via @TheNationalNews
#WorldCup2022 #Morocco #France #atlaslions #arab #africa",2022-12-14 05:06:30+00:00
17,"RT @uquidcard: 👑Winner Takes All👑

⚽️The most crowded community will share a #Giveaway of 15,000,000 $SHIB 

✅Rules:
- Comment the team you…",2022-12-14 05:00:03+00:00
18,"Will #France join #Argentina in the Finals of #WorldCup2022 or will #Morocco spring another surprise⚽️?

Who are you rooting for?👇
Morocco🇲🇦 vs France🇫🇷 kicks off 14 Dec at 7PM UTC

Pick your winner and redeem your tickets at least 1 hour before kick-off👉https://t.co/YaCOiecNqs https://t.co/RR4qGH6pNt",2022-12-14 05:00:00+00:00
19,"RT @NoviantiSetian1: @elonmusk Usually staying up late watching the world cup, but while on holiday I love this..

Updates This Week:
https…",2022-12-14 06:56:15+00:00
20,"RT @uquidcard: 👑Winner Takes All👑

⚽️The most crowded community will share a #Giveaway of 15,000,000 $SHIB 

✅Rules:
- Comment the team you…",2022-12-14 06:54:44+00:00
21,"👋 Hey ILQ fam, who are you supporting in today's semi-finals match? ⚽️

#Qatar #ILoveQatar #ILQPoll #Qatar2022  #WorldCup2022 #France #Morocco #MoroccoVsFrance #FrancevsMorocco #FRA #MAR",2022-12-14 06:50:57+00:00
22,"RT @e_cycleofficial: ⚽️𝗠𝗜𝗡𝗜 𝗘𝗩𝗘𝗡𝗧 - 𝗪𝗢𝗥𝗟𝗗 𝗖𝗨𝗣 𝟮𝟬𝟮𝟮 𝗣𝗥𝗘𝗗𝗜𝗖𝗧𝗜𝗢𝗡𝗦⚽️
- 𝑬𝑨𝑺𝒀 𝑷𝑳𝑨𝒀, 𝑬𝑨𝑺𝒀 𝑾𝑰𝑵 -

#France 🆚 #Morroco
Who gonna win?🤘

📌Comment your…",2022-12-14 06:44:25+00:00
23,"RT @sportingpress1: Giroud... that's all
.
.
.
.
#france #fff #FIFAWorldCup #FrancevsMorocco #francemaroc #qatar #WorldCup2022 #WorldcupQat…",2022-12-14 06:43:37+00:00
24,RT @naoufalenhari: As #Morocco prepares to play #France in the 1/2 of the #WorldCup2022 some French politicians and media couldn't hide the…,2022-12-14 06:36:43+00:00
25,"Giroud... that's all
.
.
.
.
#france #fff #FIFAWorldCup #FrancevsMorocco #francemaroc #qatar #WorldCup2022 #WorldcupQatar2022 #AllezLesBleus https://t.co/sP8Dr9tkE3",2022-12-14 06:36:27+00:00
26,"Any presuppositions that #France will beat #Morocco is dangerous. They have a tendency to lose the plot (see #Switzerland, 2021). But as long as they don't go behind, I guess they'll be fine. #WorldCup2022",2022-12-14 06:31:44+00:00
27,"RT @ShaunTagatoa: Who’s backing France!!
Lasssgoooo‼️🙌🙌
#France #WorldCup2022 #football https://t.co/FTkymvO3k7",2022-12-14 06:28:40+00:00
28,"RT @GuildFiGlobal: Will #France join #Argentina in the Finals of #WorldCup2022 or will #Morocco spring another surprise⚽️?

Who are you roo…",2022-12-14 06:27:43+00:00
29,"RT @ShaunTagatoa: Who’s backing France!!
Lasssgoooo‼️🙌🙌
#France #WorldCup2022 #football https://t.co/FTkymvO3k7",2022-12-14 06:25:17+00:00
30,"What do you think, whose flag will wave in the finals France 🇫🇷  or Morocco 🇲🇦  ❓

Play on https://t.co/ugqYJB1KVm
ID - Demo1, PS - Test@123

#cbtfrolling247 #CBTF #semifinal #football #WorldCup2022 #france #morocco https://t.co/sGwnHxpVCb",2022-12-14 06:25:12+00:00
