,text,time,sentiment
0,RT : If Messi score tonight against I will give out $40 to everyone who like and retweet this post/Argentina ,2022-12-14 05:59:54+00:00,0.99966466
1,RT : Prediction:  Argentina wins world cup 2022,2022-12-14 05:59:20+00:00,0.9972921
2,Cristiano Ronaldo lost    The goal is Messi ,2022-12-14 05:58:25+00:00,0.0031982348
3,Craze for football     ,2022-12-14 05:56:59+00:00,0.98754406
4,"Majestic  was a treat to watch.  produced its best performance to reach the  final on 18th.For     it was like a home game, the capacity stadium was filled with Argentinian fans.       ",2022-12-14 05:56:32+00:00,0.15617329
5,RT : If Messi score tonight against I will give out $40 to everyone who like and retweet this post/Argentina ,2022-12-14 05:55:37+00:00,0.99966466
6,"RT : Winner Takes AllThe most crowded community will share a  of 15,000,000 $SHIB Rules:- Comment the team you",2022-12-14 05:55:23+00:00,0.636587
7,Buenos Aires after Argentina made it to the Finals             ,2022-12-14 05:54:09+00:00,0.9173532
8,"RT : Lionel   has now scored 11 goals at the  , the outright most of any  player in the competitions hist",2022-12-14 05:53:41+00:00,0.969695
9,"Alvarez's brace, Messi's goal guides Argentina into final with 3-0 win over Croatia    ",2022-12-14 05:51:11+00:00,0.9932742
10, the only goat  Argentina    ,2022-12-14 05:50:28+00:00,0.1978357
11,Which 2022 FIFA World Cup Final Do You Want?                 ,2022-12-14 05:48:07+00:00,0.9568218
12,Two kings of two worlds. Shakib Al Hasan X leonel Messi                     ,2022-12-14 05:46:43+00:00,0.99582195
13, beat Croatia 3-0 to reach the World Cup final as  worked his magic to move one win away from winning the trophy he covets most.; ;  ,2022-12-14 05:46:26+00:00,0.91083527
14," Thanks for giving us such a great opportunity. I am supporting it. always success for the development team to the moon      """,2022-12-14 05:46:25+00:00,0.99987006
15,"Thanks for giving us such a great opportunity. I am supporting it. always success for the development team to the moon      "" ",2022-12-14 05:46:13+00:00,0.99987006
16,"RT : If Messi and Argentina wins the Two lucky winners will get $2000 in CashApp, USDT or  To qualify just",2022-12-14 05:46:03+00:00,0.9853607
17,RT : How to win  Follow our account  Retweet this post and tag 3 friends in the comments Set your accou,2022-12-14 05:45:54+00:00,0.9999176
18,The Fan Token of the   soccer team is on fireLearn more about  in this excellent article in our ISSUE and support your favorite team in any sport with     ,2022-12-14 05:45:00+00:00,0.99959415
19,Waiting for     ,2022-12-14 05:44:31+00:00,0.8889775
20,RT : Lionel Messi  stats so far.5 Goals 3 Assists 4 Man of the Match Awards   ,2022-12-14 05:43:52+00:00,0.9983246
21,RT : Will  join  in the Finals of  or will  spring another surprise?Who are you roo,2022-12-14 05:42:06+00:00,0.9976107
22,RT :  3-0  HighlightsMessi  and assistAlvarez       FINA,2022-12-14 05:41:18+00:00,0.9996112
23, Argentina          Join    ,2022-12-14 05:39:46+00:00,0.9071949
24,RT : GIVEAWAY: 3 $BNB for 3 random winners who guess the right champion of . Complete these tasks to be qualified:1.,2022-12-14 05:39:00+00:00,0.9997731
25,"RT : Messi, History maker   ",2022-12-14 05:38:27+00:00,0.99992335
26,RT : How The 1978 Gold winning Pakistan Hockey Team Inspired Argentina's 1978 World Cup Win!Cesar Luis Menotti was inspired,2022-12-14 05:38:00+00:00,0.9998977
27,RT : WATCH:  Reports  the  helps  score again for .3-0   ,2022-12-14 05:37:42+00:00,0.9342022
28,"RT : If Messi and Argentina wins the Two lucky winners will get $2000 in CashApp, USDT or  To qualify just",2022-12-14 05:37:42+00:00,0.9853607
29,RT : Why do I have a strong feeling that Croatia will end up Messis dream at the World Cup.   ,2022-12-14 05:36:34+00:00,0.02787591
30,How The 1978 Gold winning Pakistan Hockey Team Inspired Argentina's 1978 World Cup Win!Cesar Luis Menotti was inspired by the tactics of the legendary Abdul Waheed Khan and in particular the concept of 'Double Attack'...[Thread]   ,2022-12-14 05:36:26+00:00,0.96344095
31,Amazing!  deserves to win this. Best fans in the world  ,2022-12-14 05:36:21+00:00,0.99997044
32," defeated  by 3-0,advanced to the World Cup final.       ",2022-12-14 05:35:54+00:00,0.997883
33,RT : Goodmorning Its Saturday! Exxxclusives Here   ,2022-12-14 05:35:50+00:00,0.9998325
34,RT : If Messi score tonight against I will give out $40 to everyone who like and retweet this post/Argentina ,2022-12-14 05:35:44+00:00,0.99966466
35,RT : Here comes the big 4. Own these very exclusive handpainted collectible items. Designed and crafted by NTL arti,2022-12-14 05:34:21+00:00,0.9999703
36,"RT : 35 years old and yet Messi makes this move with such ease against Gvardiol,One of the best centre-backs in this World Cup.",2022-12-14 05:32:36+00:00,0.76425815
37,"RT : If Messi and Argentina wins the Two lucky winners will get $2000 in CashApp, USDT or  To qualify just",2022-12-14 05:32:12+00:00,0.9853607
38,"35 years old and yet Messi makes this move with such ease against Gvardiol,One of the best centre-backs in this World Cup.        ",2022-12-14 05:31:47+00:00,0.6760673
39,RT : We are with Morocco  We made  sketch to tribute to him from me  and my team Rashidi A,2022-12-14 05:30:41+00:00,0.9932133
40, Argentina            Join  ,2022-12-14 05:24:31+00:00,0.9071949
41,Well well I guess  long  has come to an end.The   If  wins the  he will be  of the   for ,2022-12-14 05:22:31+00:00,0.59829146
42,"RT : ""The Greatest"" is trending because Darren Jones gave Grant Shapps the greatest kicking of the year ",2022-12-14 05:21:35+00:00,0.9996234
43,"Im selling tickets to WORLD CUP 2022 Finals M64 Final Lusail Stadium, Lusail, QatarSunday, 18 December 202218:00     ",2022-12-14 05:21:33+00:00,0.9992248
44,Let's See who gonna battle with Argentina in the Fifa FinFIFA Worldcup 2022 Semi-Finals                   ,2022-12-14 05:21:11+00:00,0.99615484
45,"RT : Messi, History maker   ",2022-12-14 05:20:59+00:00,0.99992335
46,"RT : Messi, History maker   ",2022-12-14 05:20:43+00:00,0.99992335
47,RT : WATCH:  Reports  the  helps  score again for .3-0   ,2022-12-14 05:20:21+00:00,0.9342022
48,RT : Will  join  in the Finals of  or will  spring another surprise?Who are you roo,2022-12-14 05:19:31+00:00,0.9976107
49,RT :  kept his  dream on track as he scored one and set up another as  romped home into the,2022-12-14 05:19:30+00:00,0.99133134
50, Nice game. watching from home as well as trading on my favourite exchange Congratulations to For  winning tonight's match    ,2022-12-14 05:18:50+00:00,0.6531737
51,Building The First Girl  Low Mcap AuditedTeam DoxxedLiquidityOn Stage            ,2022-12-14 05:16:05+00:00,0.44294667
52,"I'm Done Manifesting, Next Year I'm Stealing -     ",2022-12-14 05:15:07+00:00,0.76334435
53,"RT : Winner Takes AllThe most crowded community will share a  of 15,000,000 $SHIB Rules:- Comment the team you",2022-12-14 05:14:51+00:00,0.636587
54,"RT : Messi, History maker   ",2022-12-14 05:14:34+00:00,0.99992335
55,"RT : Messi, History maker   ",2022-12-14 05:14:30+00:00,0.99992335
56,Have not seen an aging maestro? Here it is -    ,2022-12-14 05:11:34+00:00,0.963714
57,"It funny how table have turned. Beginning of the World Cup the question was Where is Messi? Then Messi showed up, Now the G.O.A.T is in the Final. I hope he wins this world cup     ",2022-12-14 05:11:23+00:00,0.92708796
58,World Cup 2022 Soccer Jerseys Argentina Football            ,2022-12-14 05:10:00+00:00,0.9998567
59,Lionel Messi  stats so far.5 Goals 3 Assists 4 Man of the Match Awards    ,2022-12-14 05:05:37+00:00,0.9655685
60,Argentina in to the world cup,2022-12-14 05:05:33+00:00,0.87971383
61,RT : Congratulations Argentina!!!France or Morocco?  ,2022-12-14 05:04:03+00:00,0.9998468
62,I was chased by two Portuguese players in my dream yesternight and I shouted Morocco They disappeared immediately          ,2022-12-14 05:03:48+00:00,0.0066348496
63,"RT : Messi, History maker   ",2022-12-14 05:03:40+00:00,0.99992335
64,RT : The way to my heart is through my Best of luck to  today! Regardless of what happens in ,2022-12-14 05:02:05+00:00,0.97569036
65,"RT : Messi, History maker   ",2022-12-14 05:02:04+00:00,0.99992335
66,"RT : Messi, History maker   ",2022-12-14 05:02:00+00:00,0.99992335
67,"RT : Winner Takes AllThe most crowded community will share a  of 15,000,000 $SHIB Rules:- Comment the team you",2022-12-14 05:00:03+00:00,0.636587
68,Will  join  in the Finals of  or will  spring another surprise?Who are you rooting for?Morocco vs France kicks off 14 Dec at 7PM UTCPick your winner and redeem your tickets at least 1 hour before kick-off,2022-12-14 05:00:00+00:00,0.99976975
69,RT : We Ronaldo fans right nowWe need global peace messi must not win this cup  ,2022-12-14 06:58:00+00:00,0.1729815
70,  I loved     ,2022-12-14 06:55:06+00:00,0.8707899
71,"RT : Winner Takes AllThe most crowded community will share a  of 15,000,000 $SHIB Rules:- Comment the team you",2022-12-14 06:54:44+00:00,0.636587
72,RT : Messi is one match away from his dream    3 -  0   ,2022-12-14 06:53:31+00:00,0.15875384
73,We Ronaldo fans right nowWe need global peace messi must not win this cup      ,2022-12-14 06:52:04+00:00,0.2730387
74,RT : Hear that??? Thats the sound of Buenos Aires celebrating the  National Teams World Cup Semi-Final WIN just n,2022-12-14 06:51:24+00:00,0.9998623
75, beat  yesterday night at Lusail Stadium to advance to their 6th  final thanks to Lionel Messi's spectacular performance. Messi now has one final opportunity to secure the trophy that has eluded him throughout his trophy-filled career  ,2022-12-14 06:50:42+00:00,0.99042225
76,RT : Craze for football     ,2022-12-14 06:50:34+00:00,0.99931264
77,   Did Syn see it after all?  So happy for you Gabby! Let's go!!   ,2022-12-14 06:50:06+00:00,0.7930415
78,RT : How to win  Follow our account  Retweet this post and tag 3 friends in the comments Set your accou,2022-12-14 06:47:29+00:00,0.9999176
79,Argentina advance to the FIFA World Cup 2022 final.     ,2022-12-14 06:47:24+00:00,0.93164814
80,"RT : Messi, History maker   ",2022-12-14 06:45:45+00:00,0.99992335
81,"RT : If Messi and Argentina wins the Two lucky winners will get $2000 in CashApp, USDT or  To qualify just",2022-12-14 06:44:44+00:00,0.9853607
82,"RT : Messi, History maker   ",2022-12-14 06:44:11+00:00,0.99992335
83,"RT : If Messi and Argentina wins the Two lucky winners will get $2000 in CashApp, USDT or  To qualify just",2022-12-14 06:43:15+00:00,0.9853607
