,text,time,sentiment
0,"RT : Good morning, Another big match today. We are almost done with  Whos going to qualify to the final match to pl",2022-12-14 05:58:23+00:00,0.9932268
1,RT : Another world cup final for France Another cup for FRANCE GOOD MORNING FAM  Leo ni Leo  Morocco haendi fina,2022-12-14 05:58:11+00:00,0.78885835
2, Impressive Presentation Slide Designs +  Free Download PowerPoint Templates                   ,2022-12-14 05:56:11+00:00,0.999969
3,"RT : Winner Takes AllThe most crowded community will share a  of 15,000,000 $SHIB Rules:- Comment the team you",2022-12-14 05:55:23+00:00,0.636587
4,Which 2022 FIFA World Cup Final Do You Want?                 ,2022-12-14 05:48:07+00:00,0.9568218
5,"RT :   -    -  ,   -  Who gonna win?Comment your",2022-12-14 05:47:14+00:00,0.99981815
6,RT : Will  join  in the Finals of  or will  spring another surprise?Who are you roo,2022-12-14 05:42:06+00:00,0.9976107
7,Today's match is between the blacks of Europe  and the whites of Africa   ,2022-12-14 05:30:06+00:00,0.8317177
8,Who is winning  v. ?                      ,2022-12-14 05:27:20+00:00,0.8993957
9,Let's See who gonna battle with Argentina in the Fifa FinFIFA Worldcup 2022 Semi-Finals                   ,2022-12-14 05:21:11+00:00,0.99615484
10,RT : Will  join  in the Finals of  or will  spring another surprise?Who are you roo,2022-12-14 05:19:31+00:00,0.9976107
11,"   Thank you so much for this wonderful opportunity you have shared to us and the kind gesture, Followed all the steps mentioned Best of luck everyone. ",2022-12-14 05:16:27+00:00,0.99993765
12,Today all support to Morocco        ,2022-12-14 05:15:27+00:00,0.99722004
13,"RT : Winner Takes AllThe most crowded community will share a  of 15,000,000 $SHIB Rules:- Comment the team you",2022-12-14 05:14:51+00:00,0.636587
14, Fixtures: France  vs  MoroccoWho will face Argentina in the final?     ,2022-12-14 05:14:16+00:00,0.04512442
15,Another world cup final for France Another cup for FRANCE GOOD MORNING FAM  Leo ni Leo  Morocco haendi final niiteni mbwa    ,2022-12-14 05:10:02+00:00,0.22946487
16,Morocco fans hope World Cup jinx mascot' support for France will net good luck for Atlas Lions writes  via      ,2022-12-14 05:06:30+00:00,0.9868037
17,"RT : Winner Takes AllThe most crowded community will share a  of 15,000,000 $SHIB Rules:- Comment the team you",2022-12-14 05:00:03+00:00,0.636587
18,Will  join  in the Finals of  or will  spring another surprise?Who are you rooting for?Morocco vs France kicks off 14 Dec at 7PM UTCPick your winner and redeem your tickets at least 1 hour before kick-off,2022-12-14 05:00:00+00:00,0.99976975
19,"RT :  Usually staying up late watching the world cup, but while on holiday I love this..Updates This Week:https",2022-12-14 06:56:15+00:00,0.9997714
20,"RT : Winner Takes AllThe most crowded community will share a  of 15,000,000 $SHIB Rules:- Comment the team you",2022-12-14 06:54:44+00:00,0.636587
21," Hey ILQ fam, who are you supporting in today's semi-finals match?            ",2022-12-14 06:50:57+00:00,0.99835664
22,"RT :   -    -  ,   -  Who gonna win?Comment your",2022-12-14 06:44:25+00:00,0.99981815
23,RT : Giroud... that's all....       ,2022-12-14 06:43:37+00:00,0.3780028
24,RT : As  prepares to play  in the 1/2 of the  some French politicians and media couldn't hide the,2022-12-14 06:36:43+00:00,0.9987054
25,Giroud... that's all....         ,2022-12-14 06:36:27+00:00,0.23742831
26,"Any presuppositions that  will beat  is dangerous. They have a tendency to lose the plot (see , 2021). But as long as they don't go behind, I guess they'll be fine. ",2022-12-14 06:31:44+00:00,0.95892996
27,RT : Whos backing France!!Lasssgoooo   ,2022-12-14 06:28:40+00:00,0.9758566
28,RT : Will  join  in the Finals of  or will  spring another surprise?Who are you roo,2022-12-14 06:27:43+00:00,0.9976107
29,RT : Whos backing France!!Lasssgoooo   ,2022-12-14 06:25:17+00:00,0.9758566
30,"What do you think, whose flag will wave in the finals France   or Morocco   Play on ID - Demo1, PS - Test       ",2022-12-14 06:25:12+00:00,0.99813986
31,RT : Another world cup final for France Another cup for FRANCE GOOD MORNING FAM  Leo ni Leo  Morocco haendi fina,2022-12-14 06:25:01+00:00,0.78885835
32,RT : Whos backing France!!Lasssgoooo   ,2022-12-14 06:24:43+00:00,0.9758566
33,Whos backing France!!Lasssgoooo   ,2022-12-14 06:24:03+00:00,0.883119
34,  Best project ever Check this out     + ,2022-12-14 06:22:32+00:00,0.99805224
35,"RT : Winner Takes AllThe most crowded community will share a  of 15,000,000 $SHIB Rules:- Comment the team you",2022-12-14 06:22:00+00:00,0.636587
36,RT :  Fixtures: France  vs  MoroccoWho will face Argentina in the final?   ,2022-12-14 06:19:24+00:00,0.052105
37,RT : Will  join  in the Finals of  or will  spring another surprise?Who are you roo,2022-12-14 06:15:58+00:00,0.9976107
38,RT : Another world cup final for France Another cup for FRANCE GOOD MORNING FAM  Leo ni Leo  Morocco haendi fina,2022-12-14 06:13:26+00:00,0.78885835
39,RT : Will  join  in the Finals of  or will  spring another surprise?Who are you roo,2022-12-14 06:06:40+00:00,0.9976107
40,"RT : Winner Takes AllThe most crowded community will share a  of 15,000,000 $SHIB Rules:- Comment the team you",2022-12-14 06:05:27+00:00,0.636587
41,RT : Will  join  in the Finals of  or will  spring another surprise?Who are you roo,2022-12-14 06:04:20+00:00,0.9976107
42,RT : Would you like to see an Argentina vs Morocco World Cup final?    ,2022-12-14 07:59:37+00:00,0.96507585
43,RT : Would you like to see an Argentina vs Morocco World Cup final?    ,2022-12-14 07:59:26+00:00,0.96507585
44,RT : Would you like to see an Argentina vs Morocco World Cup final?    ,2022-12-14 07:58:27+00:00,0.96507585
45,Would you like to see an Argentina vs Morocco World Cup final?         ,2022-12-14 07:58:22+00:00,0.89773047
46,RT : Morocco fans hope World Cup jinx mascot' support for France will net good luck for Atlas Lions writes  http,2022-12-14 07:53:25+00:00,0.9997508
47,World cup final or  ?  ,2022-12-14 07:50:25+00:00,0.90741146
48,RT : Good Morning all!! Im sorry to say this but France will beat Morocco tonight     ,2022-12-14 07:47:02+00:00,0.5453963
49,Save this tweet  is going to thrash  today and the victory will be rubbed in the face of people trying to link sports to religion.   ,2022-12-14 07:42:56+00:00,0.9172701
50,RT :  Fixtures: France  vs  MoroccoWho will face Argentina in the final?   ,2022-12-14 07:41:55+00:00,0.052105
51,"RT :   -    -  ,   -  Who gonna win?Comment your",2022-12-14 07:37:25+00:00,0.99981815
52,Good Morning all!! Im sorry to say this but France will beat Morocco tonight     ,2022-12-14 07:31:52+00:00,0.34451544
53,Our free football tip for today:France  Morocco ...provided by:        ,2022-12-14 07:30:15+00:00,0.9992822
54,"RT :   -    -  ,   -  Who gonna win?Comment your",2022-12-14 07:27:05+00:00,0.99981815
55,RT : Another world cup final for France Another cup for FRANCE GOOD MORNING FAM  Leo ni Leo  Morocco haendi fina,2022-12-14 07:26:32+00:00,0.78885835
56,"Ahead of the   match against ,   and  have been discussing the significance of the game for Africa and the Arab world   ",2022-12-14 07:24:09+00:00,0.9812781
57,"RT :   -    -  ,   -  Who gonna win?Comment your",2022-12-14 07:21:26+00:00,0.99981815
58,"RT : Winner Takes AllThe most crowded community will share a  of 15,000,000 $SHIB Rules:- Comment the team you",2022-12-14 07:15:29+00:00,0.636587
59,"""Golden Step""************************Category   .        ",2022-12-14 07:15:17+00:00,0.3740772
