,text,time
0,"RT @ConfluxAfrica: Predict &amp; Win!!! 🥳🎉

Predict the winner of today’s #WorldCup2022 match between #Netherlands &amp; #Argentina to stand a chan…",2022-12-09 19:00:55+00:00
1,"Here we go. Come on Netherlands!!! 🇳🇱🟠

#NetherlandsvsArgentina #Netherlands #WorldCup2022",2022-12-09 19:00:41+00:00
2,"KICK OFF

Netherlands vs Argentina

#FIFAWorldCupQatar2022 #FIFAWorldCup  #WorldCup2022 #Qatar2022 #ARG #NED #Argentina #Netherlands https://t.co/o6ZRQv4flK",2022-12-09 19:00:39+00:00
3,"@FIFAWorldCup #Qatar2022 #FIFAWorldCup
Who do I predict to win🇳🇱🆚🇦🇷⚽️?
Click here: https://t.co/FcgoldQVsj…
#NEDARG #NED #Netherlands
#Nederlands #NothingLikeOranje
#Oranje #HupHollandHup
#ARG #Argentina
#LaAlbiceleste
#SeleccionArgentina
#WorldCup2022
#WorldCupQatar2022  
#QatarWorldCup2022",2022-12-09 19:00:23+00:00
4,"⚽️⚽️⚽️
Start game 🔔

#ned 🆚 #arg 
________________________
#football #Netherlands #Argentina #messi #WorldCup2022 #WorldCup #FIFAWorldCup2022",2022-12-09 19:00:20+00:00
5,"⏲02:00 WIB Netherlands vs Argentina
💰Betting Odds:Argentina-0.25 @0.87
🔴Live Stream:https://t.co/zUhCQL2ixW
#bettingtips #bettingtwitter #bettingsports #LiveStreaming #LiveStreamingBola #PialaDunia2022 #Tipster #handicapper #WorldCup2022 #Netherlands #argentinavsnetherlands https://t.co/fUWbh14sFe",2022-12-09 19:00:01+00:00
6,"Game ON:
#Netherlands V #Argentina.  #worldCup2022",2022-12-09 19:02:01+00:00
7,"RT @TheRochaSays: It's Quarterfinals Friday at #WorldCup2022 !

Join Me at 11am PT for my LIVE Watchalong of #Argentina vs #Netherlands on…",2022-12-09 19:04:35+00:00
8,Next quarterfinal match just started. #Netherlands vs #Argentina I have mixed feelings the #Dutch speakers and #Messi deserve the Cup long ago. #WorldCup2022 #Qatar #Quarterfinals,2022-12-09 19:04:21+00:00
9,"#ICYMI: A last push for @JonesEmlyn on @rafvdvaart.

https://t.co/XddESpYC0s

#Netherlands #NetherlandsvsArgentina #NED #NEDARG #WorldCup #Qatar2022 #FIFAWorldCup #football #darts #Ajax #Hamburg #RealMadrid #THFC #WorldCup2022 https://t.co/Rxk4XbSG4I",2022-12-09 19:05:47+00:00
