,text,time,sentiment
2,RT : WeShare  Football Betting Round of 16!    Total Goals ScoredBet below &amp;,2022-12-15 20:00:56+00:00,True
3,We are down to the final round!!! Who will win??? Are you Team France  or Team Argentina Sound off on the comments!!    ,2022-12-15 20:00:55+00:00,True
5,RT : SAHABET - 50 Kiiye 50 TL FREEBET ! 50 TLKatlm :    ,2022-12-15 20:00:54+00:00,True
6,RT :            # # # #      #,2022-12-15 20:00:54+00:00,True
7,RT : Welcome to Football Ape Club For 100$ and Mutiple Whitelist SpotsRegister here: Join Dis,2022-12-15 20:00:53+00:00,True
8,RT : Welcome to Football Ape Club For 100$ and Mutiple Whitelist SpotsRegister here: Join Dis,2022-12-15 20:00:53+00:00,True
9,RT : WeShare  Football Betting Quarter-Finals!   Total Goals ScoredBet below &amp; Gue,2022-12-15 20:00:51+00:00,True
10,RT : $20 | 300.000 IDR ~ 20 Hours - RT + RT &amp; Like  draw    ,2022-12-15 20:00:50+00:00,True
11,RT : On est en finale Bravo les bleus et  lquipe marocaine qui na pas dmrit.   ,2022-12-15 20:00:50+00:00,True
12,RT : Obviously my outfit for the office Soft (and heavy)  Hard (very heavy and thick) with one do you prefer?VAMOS ARGENTIN,2022-12-15 20:00:49+00:00,True
13,RT : $20 GIVEAWAY ~ 3 HOURS  - RT &amp; RT + Like  's     ,2022-12-15 20:00:48+00:00,True
16,RT : Football Ape Club X Premint Collector PassWL Mint Date : 16Dec2022 1:30 PM UTCWL Mint Price : 0.04 $ETHTasks:,2022-12-15 20:00:47+00:00,True
17,RT : Football Ape Club X Premint Collector PassWL Mint Date : 16Dec2022 1:30 PM UTCWL Mint Price : 0.04 $ETHTasks:,2022-12-15 20:00:46+00:00,True
18,RT : FIRST GUEST ON THE AG PODCAST!THEE PRO BALLER - Mick      https:/,2022-12-15 20:00:45+00:00,True
19,RT : $20 GIVEAWAY ~ 3 HOURS  - RT &amp; RT + Like  's     ,2022-12-15 20:00:45+00:00,True
20,RT : WeShare  Football Betting Quarter-Finals!   Total Goals ScoredBet belo,2022-12-15 20:00:44+00:00,True
21,"'It's the World Cup though'The semi-finals are done, Argentina take on France for glory on Sunday - catch Yvonne Jeffrey in this BBC  promo!    ",2022-12-15 20:00:42+00:00,True
22,RT : WeShare  Football Betting Quarter-Finals!   Total Goals ScoredBet below &amp; G,2022-12-15 20:00:42+00:00,True
25,GOLAZOO!!!                         ,2022-12-15 20:00:38+00:00,True
26,RT : DO YOU KNOW?Its understood Christopher Vivell has now been given clearance to work in England and ready fir his new r,2022-12-15 20:00:37+00:00,True
27,"RT : Morning, hope everyone is staying warm  SUBSCRIBE TO THE LINK BELOW TO SEE MORE GOODIES  ",2022-12-15 20:00:37+00:00,True
29,RT : $15 | 217.500 IDR ~ 120 MINS- RT + rt &amp; like       ,2022-12-15 20:00:33+00:00,True
30,RT : Football Ape Club ~ WL Mint Starts In 24 Hours! WL Mint Date : 16Dec2022 1:30 PM UTCWL Mint Price : 0.04 $ETHTa,2022-12-15 20:00:32+00:00,True
31,"RT : Soccer Prediction &amp; Win 10,000 BUSDActivity time: 11.18-12.18To EnterJoinPost your pred",2022-12-15 20:00:31+00:00,True
32,RT : Football Ape Club X Premint Collector PassWL Mint Date : 16Dec2022 1:30 PM UTCWL Mint Price : 0.04 $ETHTasks:,2022-12-15 20:00:31+00:00,True
33,RT : WeShare  Football Betting Quarter-Finals!    Total Goals ScoredBet below,2022-12-15 20:00:31+00:00,True
34,RT : WESHARE RACE WINNERS 1-2  l 3Total GoalsCongratulations to all the winners up to 398 us,2022-12-15 20:00:28+00:00,True
35,RT : Welcome to Football Ape Club For 100$ and Mutiple Whitelist SpotsRegister here: Join Dis,2022-12-15 20:00:27+00:00,True
37,RT : Welcome to Football Ape Club For 100$ and Mutiple Whitelist SpotsRegister here: Join Dis,2022-12-15 20:00:24+00:00,True
